Source List,Entity Number,SDN Type,Programs,Name,Title,Address,City,State/Province,Postal Code,Country,Federal Register Notice,Effective Date,Date Lifted/Waived/Expired,Standard Order,License Requirement,License Policy,Call Sign,Vessel Type,Gross Tonnage,Gross Register Tonnage,Vessel Flag,Vessel Owner,Remarks/Notes,Address Number,Address Remarks,Alternate Number,Alternate Type,Alternate Name,Alternate Remarks,Web Link
ISN,,,INKSNA,Iranian Revolutionary Guard Corps (IRGC) Qods Force,,,,,,IR,"Vol. 79, No. 249, 12/30/14; Vol. 80, No. 170, 09/02/15, Vol. 80; No. 207, 10/27/15; Vol. 81, No. 128, 07/05/2016",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Islamic Revolutionary Guard Corps,,,,,,IR,"Vol. 72, No. 243, 12/19/07",10/25/2007,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Jack Qin,,,,,,CN,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Jahan Tech Rooyan Pars,,,,,,IR,"Vol. 79, No. 184 FR Press Release",8/29/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Joint Stock Co. Katod,,,,,,RU,"Vol. 80, No. 170, 09/02/15, Vol. 80, No. 207, 10/27/15",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,JSC Mic NPO Mashinostroyenia (NPOM),,,,,,RU,"Vol. 79, No. 249, 12/30/14",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,JSC Mic NPO Mashinostroyenia (NPOM),,,,,,RU,"Vol. 80, No. 170, 09/02/15, Vol. 80, No. 207, 10/27/15",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Kang Mun-Kil,,,,,,KP,"Vol. 81, No. 50, 03/15/2016",3/15/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Kang Mun-kil,,,,,,KP,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Karl Lee [also known as: Li Fang Wei],,,,,,CN,"Vol. 79, No. 249, 12/30/14",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Kay Marine Sdn. Bhd,,,,,,MY,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Khartoum Industrial Complex (Giad),,,,,,SD,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Khartoum Military Industrial Complex (Yarmouk),,,,,,SD,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Khata’ib Hezbollah (KH),,,,,,IQ,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Kolomna Design Bureau of Machine- Building (KBM),,,,,,RU,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Missile Sanctions,Korea Mining and Development Corp. (KOMID),,,,,,KP,"Vol. 80, No. 185, 09/24/15",9/24/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 12938,Korea Mining and Development Corp. (KOMID),,,,,,KP,"Vol. 80, No. 185, 09/24/15",9/24/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Korea Mining Development Trading Corporation,,,,,,KP,"Vol. 70, No. 126, 07/01/05",6/28/2005,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Korea Namhung Trading Corp.,,,,,,KP,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,Based in China,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Korea Ryonbong General Corporation,,,,,,KP,"Vol. 70, No. 126, 07/01/05",6/28/2005,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Korea Tangun Trading Corp.,,,,,,KP,"Vol. 74, No. 178 11/16/09",9/8/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Korean Committee for Space Technology,,,,,,KP,"Vol. 78, No. 38, 02/26/13",1/24/2013,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Kuntsevo Design Bureau,,,,,,RU,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Kursad Zafer Cire,,,,,,TR,"Vol. 74, No. 11, 01/16/09",1/12/2009,,,,,,,,,,,Associated with the A.Q. Khan Network,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Export-Import Bank Act,Kursad Zafer Cire,,,,,,TR,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Nuclear Proliferation Prevention Act,Kursad Zafer Cire,,,,,,TR,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Lebanese Hizballah,,,,,,SY,"Vol. 80, No. 170, 09/02/34,; Vol. 81, No. 128, 07/05/2016",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Li Fangwei [also known as Karl Lee],,,,,,CN,"Vol. 80, No. 170, 09/02/15, Vol. 80, No. 207, 10/27/15, Vol. 81, No. 128, 07/05/2016",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Liao Minglong,,,,,,CN,"Vol. 62, No. 99, 05/22/97",5/21/1997,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Loop SA (AKA Rainstar Ltd.),,,,,,CH,"Notice 2122, Vol. 59, No. 230, 12/01/94",11/16/1994,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Luciano Moscatelli,,,,,,AU,"Vol. 59 No. 244, 12/21/94",11/19/1994,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Luwero Industries Ltd,,,,,,UG,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Mainway International,,,,,,HK,"Notice 2176, Vol. 60, No. 47, 3/10/95",2/18/1995,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Mainway Limited,,,,,,DE,"Vol. 60, No. 109, 06/07/95",5/19/1995,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Mana International Investments,,,,,,PL,"Notice 2049, Vol. 59, No. 230, 12/01/94",7/16/1994,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Mandegar Baspar Kimiya Co.,,,,,,IR,"Vol. 79, No. 184 FR Press Release",8/29/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Manfred Felber,,,,,,AT,"Vol. 59 No. 244, 12/21/94",11/19/1994,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Maro Sanat Co.,,,,,,IR,"Vol. 79, No. 184 FR Press Release",12/12/2013,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Milad Jafari,,,,,,IR,"Vol. 79, No. 249, 12/30/14",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Military Industrial Corp.,,,,,,SD,"Vol. 79, No. 249, 12/30/14; Vol. 81, No. 128, 07/05/2016",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Ministry of Atomic Energy Industry,,,,,,KP,"Vol. 81, No. 50, 03/15/2016",3/15/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Ministry of Defense,,,,,,SY,"Vol. 79, No. 249, 12/30/14",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Ministry of Defense and Armed Forces Logistics,,,,,,IR,"Vol. 72, No. 243, 12/19/07",10/25/2007,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Mohammed al-Khatib,,,,,,JO,"Vol. 68, No. 152, 08/07/03",8/7/2003,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Mohammad Rafie Ab Malek,,,,,,MY,"Vol. 81, No. 128, 07/05/2016",6/28/2016,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Mohsen Fakhrizadeh-Mahabadi,,,,,,IR,"Vol. 73, No. 140, 07/21/08",7/8/2008,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Muhammad Farooq,,,,,,PK,"Vol. 74, No. 11, 01/16/09",1/12/2009,,,,,,,,,,,Associated with the A.Q. Khan Network,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Export-Import Bank Act,Muhammad Farooq,,,,,,PK,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Nuclear Proliferation Prevention Act,Muhammad Farooq,,,,,,PK,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Export-Import Bank Act,Muhammad Nasim ud Din,,,,,,PK,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Nuclear Proliferation Prevention Act,Muhammad Nasim ud Din,,,,,,PK,"Vol. 74, No. 11, 01/16/09",1/9/2009,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Multimat Ic ve Dis Ticaret Pazarlama Ltd.,,,,,,TR,"Vol. 80, No. 170, 09/02/15, Vol. 80, No. 207, 10/27/15",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Munitions Industry Department,,,,,,KP,"Vol. 75, No. 173, 09/08/10",8/30/2010,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Nahum Manbar,,,,,,IL,"Notice 2049, Vol. 59, No. 230, 12/01/94",7/16/1994,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
